filename,filepath,year,total_words,processed_date,finance_leases,finance_collateral,finance_convertible,finance_leasehold,finance_floating,finance_collateralization,finance_lessors,finance_revaluation,finance_securitizations,finance_securitized,finance_subleases,legal_litigation,legal_covenants,legal_licensing,legal_infringement,legal_lawsuits,legal_covenant,legal_lawsuit,legal_revocation,accounting_carryforwards,accounting_intangibles,accounting_reclassified,accounting_carryforward,accounting_accrues,accounting_bankruptcies,accounting_carryback,accounting_subsidy,hedging_derivative,hedging_derivatives,hedging_hedges,hedging_swaps,hedging_hedged,hedging_counterparties,hedging_counterparty,international_internationalglobal,international_worldwide,international_complex,international_repatriate,international_repatriated,international_repatriation,international_sovereign,org_form_segments,org_form_entities,org_form_affiliates,org_form_restructuring,org_form_ventures,org_form_mergers,org_form_merging,org_form_outsource,org_form_partnering,org_form_restructure,org_form_restructured
20240304_10-K_edgar_data_1902649_0000950170-24-024153.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1902649_0000950170-24-024153.txt,2024,76690,2026-05-12T14:55:00.970830,0,28,5,0,15,0,0,0,0,1,0,8,18,0,0,0,1,0,0,0,0,0,0,3,1,0,0,6,10,0,5,3,8,8,0,2,4,0,0,0,0,1,102,87,6,2,3,0,1,0,1,0
20240304_10-K_edgar_data_1980994_0001437749-24-006339.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_1980994_0001437749-24-006339.txt,2024,71037,2026-05-12T14:55:00.999008,0,3,5,0,0,0,0,0,0,0,0,7,0,1,0,4,0,2,0,0,0,0,0,1,1,0,0,12,3,0,0,0,27,28,0,1,5,0,0,0,0,0,40,70,0,1,0,0,0,0,0,0
20240304_10-K_edgar_data_25475_0000950170-24-024987.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_25475_0000950170-24-024987.txt,2024,162895,2026-05-12T14:55:01.063982,31,161,9,3,2,1,0,3,0,0,4,16,37,4,1,5,26,0,3,19,4,5,0,1,0,0,10,7,1,0,8,0,0,0,0,2,11,2,1,0,0,31,88,53,3,1,3,0,5,0,0,0
20240304_10-K_edgar_data_764038_0001558370-24-002302.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_764038_0001558370-24-002302.txt,2024,100016,2026-05-12T14:55:01.105642,30,45,1,2,11,0,4,0,0,0,0,17,23,1,0,3,2,2,0,12,18,4,2,0,1,1,1,32,17,18,22,2,14,7,0,1,11,0,0,0,0,3,14,10,3,0,23,1,0,0,0,10
20240304_10-K_edgar_data_811830_0000811830-24-000010.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_811830_0000811830-24-000010.txt,2024,76753,2026-05-12T14:55:01.138407,58,76,2,3,6,0,0,0,34,0,0,15,1,0,2,3,1,1,0,3,6,9,3,0,1,0,0,39,47,24,26,8,29,7,0,2,13,0,0,0,2,11,34,40,6,0,3,0,0,0,1,1
20240304_10-K_edgar_data_842518_0000842518-24-000014.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_842518_0000842518-24-000014.txt,2024,44073,2026-05-12T14:55:01.158407,8,40,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,9,4,0,0,2,0,0,0,0,19,9,5,0,0,5,1,0,0,1,1
20240304_10-K_edgar_data_903651_0001410578-24-000124.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_903651_0001410578-24-000124.txt,2024,37655,2026-05-12T14:55:01.174728,2,0,0,1,0,0,0,1,0,0,0,8,8,0,0,0,3,1,0,6,1,3,0,0,0,0,0,0,5,1,0,0,0,0,0,3,6,2,3,1,0,12,5,3,0,4,0,1,0,0,0,0
20240304_10-K_edgar_data_913241_0001628280-24-008331.txt,data/raw/2024/QTR1/20240304_10-K_edgar_data_913241_0001628280-24-008331.txt,2024,65545,2026-05-12T14:55:01.203438,14,2,0,4,0,0,0,0,0,0,0,10,4,26,1,0,12,2,9,1,19,1,1,1,1,1,0,3,4,1,0,0,0,0,0,4,6,0,2,0,0,12,8,30,2,15,0,0,0,0,0,0
20240411_10-K_edgar_data_1352952_0001096906-24-000789.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1352952_0001096906-24-000789.txt,2024,25149,2026-05-12T14:57:07.283773,2,4,11,1,0,0,0,0,0,0,0,4,2,9,4,0,0,2,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,3,0,0,0,0,1,1
20240411_10-K_edgar_data_1402945_0001437749-24-011671.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1402945_0001437749-24-011671.txt,2024,54076,2026-05-12T14:57:07.306670,14,0,61,1,0,0,0,0,0,0,0,13,4,5,1,3,0,3,0,0,1,2,1,0,0,0,0,30,2,0,0,0,0,0,0,0,9,0,0,0,0,6,27,5,0,0,2,0,0,0,0,0
20240411_10-K_edgar_data_1468327_0001468327-24-000114.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1468327_0001468327-24-000114.txt,2024,144811,2026-05-12T14:57:07.370340,27,90,11,11,0,0,1,7,0,0,0,41,41,2,4,8,21,5,1,9,2,3,0,2,0,0,0,7,0,0,1,0,0,0,0,3,7,0,0,0,0,0,10,74,92,2,6,0,0,0,3,0
20240411_10-K_edgar_data_1524025_0001628280-24-015839.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1524025_0001628280-24-015839.txt,2024,41029,2026-05-12T14:57:07.389610,38,0,1,3,0,0,0,0,0,0,0,19,5,1,7,3,4,0,0,7,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,0,1,0,0,1,0,0
20240411_10-K_edgar_data_1603207_0001493152-24-014342.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1603207_0001493152-24-014342.txt,2024,78870,2026-05-12T14:57:07.425388,3,0,116,2,0,0,0,0,0,0,0,19,1,30,9,6,0,1,1,13,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,7,9,0,0,0,0,4,25,9,3,0,4,0,1,2,0,0
20240411_10-K_edgar_data_1615222_0001999371-24-004693.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1615222_0001999371-24-004693.txt,2024,62684,2026-05-12T14:57:07.453544,10,3,6,0,3,1,0,0,0,0,0,7,10,0,0,2,0,0,0,4,4,0,0,0,0,0,0,6,2,0,1,0,2,0,0,0,5,0,0,0,0,0,19,121,0,6,21,0,0,0,1,0
20240411_10-K_edgar_data_1651992_0001477932-24-001977.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1651992_0001477932-24-001977.txt,2024,16822,2026-05-12T14:57:07.462528,0,0,7,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0
20240411_10-K_edgar_data_1701758_0001628280-24-015804.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1701758_0001628280-24-015804.txt,2024,53267,2026-05-12T14:57:07.488382,31,0,3,3,1,0,0,0,0,0,0,29,3,1,8,6,1,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,12,0,3,3,0,0,0,1,0
20240411_10-K_edgar_data_1771514_0000950170-24-043546.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1771514_0000950170-24-043546.txt,2024,116147,2026-05-12T14:57:07.541206,157,34,6,1,6,1,0,0,0,1,0,15,29,0,0,0,8,0,0,0,4,4,0,0,0,0,0,11,1,6,4,3,2,5,0,1,5,0,0,0,0,1,29,102,2,5,4,0,0,0,1,0
20240411_10-K_edgar_data_1782107_0001213900-24-032225.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1782107_0001213900-24-032225.txt,2024,137961,2026-05-12T14:57:07.600218,2,0,60,0,0,0,0,1,0,0,0,40,16,30,24,15,4,2,3,9,1,1,1,0,0,0,0,6,1,0,0,0,0,0,0,18,13,0,0,0,0,5,17,58,7,6,4,0,1,1,2,0
20240411_10-K_edgar_data_1826667_0001826667-24-000005.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1826667_0001826667-24-000005.txt,2024,120179,2026-05-12T14:57:07.651634,10,0,118,2,0,0,0,0,0,0,0,53,8,20,17,11,0,5,1,5,1,1,0,1,0,0,0,9,3,0,0,0,1,0,0,3,18,0,0,0,0,1,18,21,2,9,2,0,0,0,1,0
20240411_10-K_edgar_data_1857410_0001193125-24-093395.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1857410_0001193125-24-093395.txt,2024,81506,2026-05-12T14:57:07.686957,0,1,21,0,0,0,0,0,0,0,0,7,9,0,0,1,2,2,0,0,0,0,0,0,0,0,0,10,5,0,1,0,0,0,0,2,4,0,0,0,0,0,37,85,1,2,1,1,0,0,4,0
20240411_10-K_edgar_data_1860514_0001829126-24-002417.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1860514_0001829126-24-002417.txt,2024,73712,2026-05-12T14:57:07.719497,0,0,18,0,1,0,0,0,0,0,0,9,3,0,0,2,1,2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3,0,0,13,0,0,0,0,0,36,36,1,4,5,0,0,0,4,0
20240411_10-K_edgar_data_1864032_0001214659-24-006651.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1864032_0001214659-24-006651.txt,2024,72609,2026-05-12T14:57:07.751207,0,0,8,0,0,0,0,0,0,0,0,7,4,0,0,3,1,2,0,1,0,0,1,0,0,0,0,6,5,0,0,0,0,0,0,5,6,0,0,0,0,0,51,47,1,0,2,0,0,1,4,0
20240411_10-K_edgar_data_1871181_0001493152-24-014351.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_1871181_0001493152-24-014351.txt,2024,21179,2026-05-12T14:57:07.761448,0,0,4,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,1,0,0,0,0,0,0
20240411_10-K_edgar_data_721693_0001213900-24-031988.txt,data/raw/2024/QTR2/20240411_10-K_edgar_data_721693_0001213900-24-031988.txt,2024,61855,2026-05-12T14:57:07.788569,16,4,4,0,0,0,0,0,0,0,0,19,3,0,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,9,1,0,3,0,8,30,10,1,2,9,1,3,0,0,0
20240327_10-K_edgar_data_1501796_0000950170-24-036814.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1501796_0000950170-24-036814.txt,2024,97269,2026-05-12T14:56:24.028368,4,4,16,0,0,0,0,0,0,0,0,35,6,20,17,8,0,1,2,25,0,0,2,0,1,1,0,11,0,0,0,0,2,0,0,4,8,0,0,1,0,2,25,18,2,7,3,0,0,0,0,1
20240327_10-K_edgar_data_1522616_0001193125-24-078510.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1522616_0001193125-24-078510.txt,2024,19881,2026-05-12T14:56:24.037924,0,6,0,0,0,0,0,0,0,22,0,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
20240327_10-K_edgar_data_1527352_0001829126-24-001935.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1527352_0001829126-24-001935.txt,2024,62909,2026-05-12T14:56:24.063512,22,0,10,0,0,0,0,0,0,0,0,21,1,11,10,8,0,2,0,2,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,1,19,16,2,8,0,1,2,1,0,0
20240327_10-K_edgar_data_1532383_0001017386-24-000046.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1532383_0001017386-24-000046.txt,2024,8116,2026-05-12T14:56:24.067569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
20240327_10-K_edgar_data_1540684_0001493152-24-011539.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1540684_0001493152-24-011539.txt,2024,46330,2026-05-12T14:56:24.086890,6,0,61,0,0,0,0,0,0,0,0,6,3,5,0,2,0,0,1,0,1,1,0,0,0,0,0,22,0,0,0,0,2,2,0,0,7,1,0,2,0,0,7,6,0,2,1,0,0,0,1,0
20240327_10-K_edgar_data_1556263_0000950170-24-036808.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1556263_0000950170-24-036808.txt,2024,89729,2026-05-12T14:56:24.122502,4,4,2,1,0,0,0,0,0,0,0,34,7,16,15,8,0,7,5,22,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,5,7,0,0,0,0,1,19,3,15,2,3,2,1,0,0,0
20240327_10-K_edgar_data_1563756_0001829126-24-001941.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1563756_0001829126-24-001941.txt,2024,39330,2026-05-12T14:56:24.138967,0,12,0,0,0,0,0,0,0,0,0,2,25,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,3,1,0,0,0,1,0,2,2,0,0,0,0,0,53,67,0,6,0,0,0,0,0,0
20240327_10-K_edgar_data_1564347_0001853620-24-000086.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1564347_0001853620-24-000086.txt,2024,64398,2026-05-12T14:56:24.169472,0,2,0,0,0,1,0,0,0,26,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0
20240327_10-K_edgar_data_1571237_0001888524-24-004946.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1571237_0001888524-24-004946.txt,2024,100094,2026-05-12T14:56:24.219453,0,3,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
20240327_10-K_edgar_data_1577311_0001888524-24-004937.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1577311_0001888524-24-004937.txt,2024,107171,2026-05-12T14:56:24.272343,0,4,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0
20240327_10-K_edgar_data_1578422_0001853620-24-000082.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1578422_0001853620-24-000082.txt,2024,34179,2026-05-12T14:56:24.288592,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
20240327_10-K_edgar_data_1582554_0001493152-24-011493.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1582554_0001493152-24-011493.txt,2024,75222,2026-05-12T14:56:24.318463,14,3,5,10,0,0,0,0,0,0,0,11,4,13,7,4,0,2,4,12,0,0,2,0,0,1,0,3,0,0,1,0,0,1,0,1,14,0,0,0,0,0,23,10,0,3,0,1,0,0,0,1
20240327_10-K_edgar_data_1583708_0001583708-24-000016.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1583708_0001583708-24-000016.txt,2024,81178,2026-05-12T14:56:24.351063,3,0,9,2,0,0,0,0,0,0,0,42,2,3,12,3,0,0,0,20,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,20,4,0,4,0,3,14,3,19,3,3,0,0,1,0,0
20240327_10-K_edgar_data_1585101_0001585101-24-000018.txt,data/raw/2024/QTR1/20240327_10-K_edgar_data_1585101_0001585101-24-000018.txt,2024,71731,2026-05-12T14:56:24.380283,44,3,3,1,2,0,0,0,0,0,0,10,14,0,0,0,1,0,0,0,5,2,1,3,0,0,0,16,1,7,2,0,4,0,0,3,11,0,0,2,0,2,41,98,8,7,0,0,0,0,1,0
